CryoSleep_False,CryoSleep_True,VIP_False,VIP_True,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,cabindeck_A,cabindeck_B,cabindeck_C,cabindeck_D,cabindeck_E,cabindeck_F,cabindeck_G,cabindeck_T,cabinside_P,cabinside_S,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,cabinnum,Transported
1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.6954125649821259,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.33676884700227866,-0.1767479618065719,-0.2799930035540947,-0.26611234301062203,0.20616518692034194,-0.23049418337407357,-1.167050517830678,1
1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2.002842353495705,-0.27908320302014816,1.8451627192257491,-0.3094936723404968,5.5963565655153875,-0.22605784993050296,-1.167050517830678,0
1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.28254000018836406,-0.3457561632047509,0.47903373903674384,0.33428525491484484,2.6363844591380237,-0.09829144675566902,-1.167050517830678,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.8872656000606277,0.12405562600303104,-0.24365027883035753,-0.04747044318805318,0.22015206042950844,-0.2677593843000668,-1.1651027633098243,1
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.0394730356435942,-0.3457561632047509,0.0024078410205187004,-0.3094936723404968,-0.019373148414968108,-0.26953391767749507,-1.167050517830678,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.19914465873769138,-0.2806337369779296,0.6315540264019358,-0.30428791282091183,-0.27375941036293405,-0.26953391767749507,-1.1631550087889706,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.42016418845295134,-0.3457561632047509,0.1823341175216437,-0.27999436839618197,-0.08493661798918614,-0.26953391767749507,-1.1612072542681169,1
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1.024889788325215,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.1651027633098243,1
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.1082851297758878,-0.285285338851274,4.060877362628676,0.7125704466713528,-0.17759965498741428,-0.15951284827694362,-1.1651027633098243,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.21372790605607045,-0.2325671842867044,-0.2853550449067772,1.639195641157478,-0.27375941036293405,-0.16927278185279898,-1.1651027633098243,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.3147214121727686,0.7690777524401178,-0.28475926253425693,-0.1967022160828224,-0.27375941036293405,-0.24823951714835607,-1.1651027633098243,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.061520470473104105,-0.3333518915424992,0.29493698592797685,-0.28867063426215694,-0.27201105117428825,-0.2633230508564962,-1.1631550087889706,1
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-0.33676884700227866,-0.3457561632047509,-0.28475926253425693,-0.3094936723404968,-0.27375941036293405,0.29565496303340233,-1.1592594997472632,0
0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1.1082851297758878,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.1573117452264094,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-1.9882591061773258,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,1
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1.024889788325215,0.29306382740121,-0.2853550449067772,-0.30775841916730184,-0.27375941036293405,0.33292016395939555,-1.1553639907055557,0
0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.9194470120450322,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,0
0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.3835335063050622,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.3001381648543895,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,1
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-1.5065744472512705,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.167050517830678,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.9560776941929213,-0.3457561632047509,-0.1513040110897139,-0.3094936723404968,0.5986718247713273,-0.26953391767749507,-1.1553639907055557,0
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.3513520943206577,-0.3116444161335588,3.332831303408892,-0.3094936723404968,0.9833108462734064,0.021489556220737806,-1.167050517830678,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.9706609415113004,1.39859453929939,-0.2853550449067772,-0.07349924078597804,-0.23179878983543453,-0.26953391767749507,-1.1514684816638483,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.21372790605607045,-0.3457561632047509,0.22105997173546196,-0.16893816531170255,0.10825707235617633,0.13239789231000337,-1.1592594997472632,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1.245909318040475,-0.013941896239518765,-0.2853550449067772,2.1389485550376355,-0.27375941036293405,0.820916842752164,-1.1495207271429946,1
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-1.8506349179127386,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.1495207271429946,1
0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-0.061520470473104105,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.1651027633098243,1
1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.40558094113457227,0.8698624596959126,0.28897916220277403,-0.3094936723404968,0.5575853838381506,-0.26953391767749507,-1.1651027633098243,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-0.6120172235314532,0.5132396494061772,-0.16917748226532234,-0.3094936723404968,2.004352612442562,-0.26953391767749507,-1.1475729726221409,0
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,-0.8184535059283341,-0.3457561632047509,-0.2853550449067772,-0.3094936723404968,-0.27375941036293405,-0.26953391767749507,-1.1631550087889706,1
1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.1082851297758878,-0.3457561632047509,-0.18764673581345107,-0.23140727954672222,1.9213055509818857,0.48907910117308145,-1.1612072542681169,0
